CUSTOMRECORD_4572	4572 Custom Record
CUSTOMRECORD_JP_BLSHEET_REPORTS	Japan Balance Sheet Reports
CUSTOMRECORD_JP_CASHFLOW_REPORTS	Japan Cash Flow Statement Reports
CUSTOMRECORD_JP_COMP_BLSHEET_REPORTS	Japan Comparative Balance Sheet Reports
CUSTOMRECORD_JP_FIN_REPORT_DATA	Japan Financial Report Data
CUSTOMRECORD_JP_INCOME_REPORTS	Japan Income Statement Reports
CUSTOMRECORD_JP_REPORT_PREFERENCE	Japan Report Preference
CUSTOMRECORD_JP_TAXADJDETAILS	Japan Tax Adjustment Details
CUSTOMRECORD_CU_LANDED_COST_ADJUSTMENT	Landed Cost Adjustment
CUSTOMRECORD_CU_LANDED_COST_ADJ_DETAIL	Landed Cost Adjustment Detail
CUSTOMRECORD_CU_LCA_PO_SUMMARY	Landed Cost Adjustment PO Summary
CUSTOMRECORD_LNDD_CST_RCRD_UPDT_JB	Landed Cost Records Update Job
CUSTOMRECORD_SCM_LC_PROFILE	Landed Cost Template
CUSTOMRECORD_SCM_LC_PROFILE_DETAIL	Landed Cost Template Detail
CUSTOMRECORD_SCM_LC_MAPPING	Landed Cost Template Mapping
CUSTOMRECORD_LSA	Last Sales Activity Record
CUSTOMRECORD_FAM_LEASECONTRACT	Lease Contract
CUSTOMRECORD_FAM_LEASEPAYMENTS	Lease Payments
CUSTOMRECORD_8299_LICENSE_CACHE	License Cache
CUSTOMRECORD_8299_LICENSE_SERVER	License Server Details
CUSTOMRECORD_CSEGMH_CSEG_1	MH SS Setup Custom segment 1 CS
CUSTOMRECORD_CSEGMH_CSEG_2	MH SS Setup Custom segment 2 CS
CUSTOMRECORD_CSEGMH_CSEG_3	MH SS Setup Custom segment 3 CS
CUSTOMRECORD_MOSS_PROVISIONING_STATUS	MOSS Provisioning Status
CUSTOMRECORD_TAF_SETUPCONFIG_VALUE	MX Setup Configuration
CUSTOMRECORD_CU_MNTNCE_SRVC_RECORDS	Maintenance and Service Records
CUSTOMRECORD_CU_MK_DESCRIPTIVE	Market Place - Descriptive
CUSTOMRECORD_CUSTBOL_MASTER_REC_TYPE	Master Record Type
CUSTOMRECORD_MH_XML_CONFIG_UPLOAD_RECORD	Merchandise Hierarchy XML Files
CUSTOMRECORD_MOBILE_ACCOUNT_PREF	Mobile - Account Preference
CUSTOMRECORD_MOBILE_ACTION	Mobile - Action
CUSTOMRECORD_MOBILE_ACTION_TYPES	Mobile - Action Type
CUSTOMRECORD_MOBILE_ACCOUNT_SETUP_QUEUE	Mobile - App Setup Queue
CUSTOMRECORD_MOBILE_APPLICATION_DEFAULTS	Mobile - Application Default
CUSTOMRECORD_MOBILE_APP_RESTLET_CONFIG	Mobile - Application Restlet
CUSTOMRECORD_MOBILE_INJECTION_REC_TYPES	Mobile - Config Record Type
CUSTOMRECORD_MOBILE_INJECTION_VAL_TYPES	Mobile - Config Value Type
CUSTOMRECORD_MOBILE_CONFIG_INJECTION	Mobile - Configuration
CUSTOMRECORD_MOBILE_CONTENT_AREA	Mobile - Content Area
CUSTOMRECORD_MOBILE_CONFIG_TABLE_COLUMN	Mobile - Custom Column
CUSTOMRECORD_MOBILE_CONFIG_TABLE_COLUMNS	Mobile - Custom Column Setup
CUSTOMRECORD_MOBILE_DATA_TYPE	Mobile - Data Type
CUSTOMRECORD_MOBILE_DEPENDENCYLOOKUP	Mobile - Dependency Lookup
CUSTOMRECORD_MOBILE_HTTP_METHODS	Mobile - HTTP Method
CUSTOMRECORD_MOBILE_IMPORTED_PROCESS	Mobile - Imported Process
CUSTOMRECORD_MOBILE_INFO_SCREEN_ELEMENT	Mobile - Info Screen Element
CUSTOMRECORD_MOBILE_PARAM	Mobile - Input Parameter
CUSTOMRECORD_MOBILE_INTERIM_ELK_LOGS	Mobile - Interim ELK Logs
CUSTOMRECORD_MOBILE_LABELS	Mobile - Label
CUSTOMRECORD_MOBILE_HIBC_LIC_CODE	Mobile - Labeler ID
CUSTOMRECORD_MOBILE_LAYOUT	Mobile - Layout
CUSTOMRECORD_MOBILE_MENU_ITEMS	Mobile - Menu Item
CUSTOMRECORD_MOBILE_MESSAGES	Mobile - Message
CUSTOMRECORD_MOBILE_OUTPUT_CONFIGURATION	Mobile - Output Parameter
CUSTOMRECORD_MOBILE_PAGE	Mobile - Page
CUSTOMRECORD_MOBILE_PAGE_ELEMENT	Mobile - Page Element
CUSTOMRECORD_MOBILE_ELEMENT_SIZES	Mobile - Page Element Size
CUSTOMRECORD_MOBILE_ELEMENT_TYPES	Mobile - Page Element Type
CUSTOMRECORD_MOBILE_IND_PAGE_MAPPING	Mobile - Page Mapping
CUSTOMRECORD_MOBILE_PAGE_TYPE	Mobile - Page Type
CUSTOMRECORD_MOBILE_ACT_PREF_KEYS	Mobile - Preference Key
CUSTOMRECORD_MOBILE_PRINT_REPORTS	Mobile - Print Reports
CUSTOMRECORD_MOBILE_PROCESS	Mobile - Process
CUSTOMRECORD_MOBILE_REGISTERED_APPS	Mobile - Registered App
CUSTOMRECORD_MOBILE_CONFIG_DATA_TABLES	Mobile - Setup Details
CUSTOMRECORD_MOBILE_SEQ_SUB_ACTIONS	Mobile - Sub-action
CUSTOMRECORD_MOBILE_TABLE_COLUMN	Mobile - Table Column
CUSTOMRECORD_MOBILE_TABLE_CONFIGURATION	Mobile - Table Configuration
CUSTOMRECORD_MOBILE_TEXT_STYLE	Mobile - Text Style
CUSTOMRECORD_MOBILE_TOGGLE_STATES	Mobile - Toggle State
CUSTOMRECORD_MOBILE_TABLE_COL_LOCATION	Mobile - Trans Tbl Col Loc
CUSTOMRECORD_MOBILE_TBL_FOOTER_BUTTON	Mobile - Trans Tbl Footer Btn
